Date,Type,Link
2021-02-18 12:18:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6768066879371268096
2021-02-18 12:17:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6768066607676817408
2021-02-17 13:46:58,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6766493123905486848
2021-02-17 12:21:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6767763384722063360
2021-02-16 16:31:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6767424604811128832
2021-02-16 16:31:12,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6767166854889897984
2021-02-16 09:09:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6767143237338632192
2021-02-16 09:09:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6767341332936613888
2021-02-15 10:45:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6766353432422023168
2021-02-13 17:35:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6766390859928801280
2021-02-13 10:49:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6766256014691069952
2021-02-12 14:31:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6765912111504769024
2021-02-12 06:55:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6765431449584836608
2021-02-12 06:53:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6765558535196680193
2021-02-11 07:33:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6765272487677767682
2021-02-09 17:01:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6764798610220683264
2021-02-09 13:57:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6764388148404371456
2021-02-07 12:14:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6764104049257140224
2021-02-07 07:22:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6764044321214783488
2021-02-07 04:07:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6763711839533580288
2021-02-07 04:07:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6763842497761337344
2021-02-07 04:06:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6763905924680749056
2021-02-05 10:51:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6762831648770822145
2021-02-05 10:50:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6763376549602344960
2021-02-05 08:08:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6763332549075972096
2021-02-05 04:45:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6763182427104940032
2021-02-04 20:03:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6763060427875237888
2021-02-04 19:59:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6763065578316951553
2021-02-04 19:59:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6763161477454016512
2021-02-04 14:22:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6763015900082786304
2021-02-04 06:04:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6762972105739915264
2021-02-03 09:51:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6762658681495650304
2021-02-03 09:01:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6762629610967445504
2021-02-03 06:22:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6762289653023305728
2021-02-03 04:43:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6762491149505589248
2021-02-02 16:25:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6762308933278294016
2021-02-01 15:47:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6761979851999129600
2021-02-01 10:13:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6761898572951748608
2021-02-01 10:13:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6761875859000373248
2021-01-31 14:23:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6761612352367525888
2021-01-31 09:09:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6761548785219895296
2021-01-31 05:19:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6761253672828596224
2021-01-30 15:58:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6761281909562707968
2021-01-30 05:37:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6761062833624100864
2021-01-29 11:13:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6760553530236403712
2021-01-29 11:12:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6760802170045534208
2021-01-29 06:16:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6759505830564945920
2021-01-29 04:23:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6754426656485711872
2021-01-27 19:13:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6760206180057976832
2021-01-27 19:12:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6760221402109931520
2021-01-27 15:41:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6760197806834671617
